Município;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Passa e Fica (RN);17479.677;20669.102;25119.639;27724.575;32832.104;49456.625;41386.654;42712.317;47385.567;64299.441;71128.661;76192.337;81670.088;94178.046;90063.736;102463.005;105015.219;120311.752;126757.542;141238.423
Passagem (RN);8053.924;6429.364;7498.908;8715.827;9217.481;10498.825;10926.158;12883.668;14808.012;17098.596;18730.194;22874.814;23605.396;24933.268;28872.246;29931.995;33615.853;34322.747;36270.876;44599.996
Patu (RN);21189.314;22729.768;24976.765;27574.609;32868.715;37283.148;38142.18;41534.784;48958.183;59233.105;78012.015;85463.877;89322.571;99073.209;100812.801;122268.478;134574.225;138563.767;146483.198;146944.65
Santa Maria (RN);7779.916;9373.475;11612.077;12428.469;13635.09;15937.171;19657.308;21194.311;20790.4;27326.911;35626.193;42651.27;49000.386;53175.24;45871.395;59198.246;49764.264;62135.504;62353.906;71240.813
Pau dos Ferros (RN);73069.083;76890.927;90013.79;101951.606;114099.965;138783.549;151473.058;183333.707;207239.8;234172.432;280665.657;305992.71;322278.235;359935.122;382701.693;441747.406;468647.699;542552.588;551698.952;612640.491
Pedra Grande (RN);8560.887;11361.199;12944.696;12966.726;14793.081;15291.534;16955.921;20522.442;21631.753;25416.705;29628.183;34321.203;30720.959;137941.231;170188.228;187799.371;192090.415;197448.031;294176.467;273298.419
Pedra Preta (RN);6041.529;6717.541;7240.833;7756.82;8700.893;10499.518;12057.552;12604.51;13686.344;16394.023;16815.695;17935.251;19509.802;21460.267;23164.012;23997.436;26749.441;29174.345;30183.337;33705.396
Pedro Avelino (RN);19785.528;19767.713;20205.462;21901.994;22030.017;28514.208;29183.52;32118.532;34787.051;38397.205;36049.238;40321.054;42984.15;47362.376;49927.11;52864.645;55829.066;62132.719;66830.651;73880.158
Pedro Velho (RN);24183.204;26366.231;28979.268;35861.239;42281.935;45178.208;49357.021;54956.889;63738.913;69288.54;72488.401;84471.724;95531.873;102923.102;113377.014;119439.764;124910.036;143990.097;156771.137;164939.561
Pendências (RN);81778.335;85947.337;96493.584;114817.067;139485.454;150621.472;170705.169;133885.379;187804.806;254461.96;309909.816;347533.903;303165.779;257342.006;204889.557;258006.49;437064.24;475811.76;448685.565;703551.57
Pilões (RN);5995.203;7252.191;8636.352;9102.028;11209.123;12254.159;14562.621;16781.022;17369.303;30218.199;22564.813;24015.388;27914.107;30256.29;31348.417;33764.567;33653.092;34494.869;39237.498;39512.375
